residencias_id,residencias
1,"Havana, Cuba"
2,"Aberdeen / Portland, OR"
3,"Albany, NY"
4,"Altdorf, Switzerland"
5,"Amenia, ND"
6,"Antwerp, Belgium / Stanton, OH"
7,Argentina
8,"Asarum, Sweden Brooklyn, NY"
9,"Ascot, Berkshire / Rochester, NY"
10,"Auburn, NY"
11,"Aughnacliff, Co Longford, Ireland New York, NY"
12,"Australia Fingal, ND"
13,Austria
14,"Austria Niagara Falls, NY"
15,Austria-Hungary
16,"Austria-Hungary / Germantown, Philadelphia, PA"
17,"Bangkok, Thailand / Roseville, IL"
18,"Barcelona, Spain / Havana, Cuba"
19,"Barre, Co Washington, VT"
20,"Basel, Switzerland"
21,"Bath, England / Massachusetts"
22,"Bayside, Queens, NY"
23,Belfast
24,"Belfast, NI"
25,"Belgium  Montreal, PQ"
26,"Belgium Detroit, MI"
27,"Belmont, MA"
28,"Bennington, VT"
29,"Bergen, Norway"
30,"Berne, Switzerland / Central City, IA"
31,"Birkdale, England Cleveland, Ohio"
32,"Bishopstoke, Hants / Fayette Valley, ID"
33,"Boston, MA"
34,"Bournemouth, England"
35,"Bournemouth, England Newark, NJ"
36,"Bournmouth, England"
37,"Brennes, Norway New York"
38,"Bridgerule, Devon"
39,"Bridgwater, Somerset, England"
40,"Brighton, MA"
41,"Brighton, Sussex"
42,"Bristol, Avon / Jacksonville, FL"
43,"Bristol, England / New Britain, CT"
44,"Bristol, England Cleveland, OH"
45,"Brockton, MA"
46,"Bromsgrove, England / Montreal, PQ"
47,"Bronx, NY"
48,"Brookline, MA"
49,"Brooklyn, NY"
50,"Broomfield, Chelmsford, England"
51,"Brunswick, ME"
52,"Bryn Mawr, PA"
53,"Bryn Mawr, PA, USA"
54,"Buenos Aires, Argentina / New Jersey, NJ"
55,"Buffalo, NY"
56,"Bulgaria Chicago, IL"
57,"Bulgaria Coon Rapids, IA"
58,"Calgary, AB"
59,"Cambridge, MA"
60,"Cape Town, South Africa / Seattle, WA"
61,"Catford, Kent / Detroit, MI"
62,"Chelsea, London"
63,"Chicago, IL"
64,"Cincinatti, OH"
65,"Clevedon, England"
66,"Co Athlone, Ireland New York, NY"
67,"Co Clare, Ireland Washington, DC"
68,"Co Cork, Ireland Charlestown, MA"
69,"Co Cork, Ireland Roxbury, MA"
70,"Co Limerick, Ireland Sherbrooke, PQ"
71,"Co Longford, Ireland New York, NY"
72,"Co Sligo, Ireland Hartford, CT"
73,"Co Sligo, Ireland New York, NY"
74,"Cologne, Germany"
75,"Columbus, OH"
76,"Cooperstown, NY"
77,"Copenhagen, Denmark"
78,Cornwall
79,"Cornwall / Akron, OH"
80,"Cornwall / Camden, NJ"
81,"Cornwall / Clear Creek, CO"
82,"Cornwall / Hancock, MI"
83,"Cornwall / Houghton, MI"
84,"Cornwall / Spokane, WA"
85,"Cornwall, England Houghton, MI"
86,Croatia
87,"Dagsas, Sweden Fower, MN"
88,"Deephaven, MN / Cedar Rapids, IA"
89,"Deer Lodge, MT"
90,"Denmark / New York, NY"
91,"Denmark Hill, Surrey / Chicago"
92,"Denver, CO"
93,"Detroit, MI"
94,"Devon, England Wichita, KS"
95,"Devonport, England"
96,"Dorchester, MA"
97,"Dorking, Surrey, England"
98,"Dowagiac, MI"
99,"Duluth, MN"
100,"East Bridgewater, MA"
101,"East Orange, NJ"
102,"East Providence, RI"
103,"Effington Rut, SD"
104,"Elizabeth, NJ"
105,"Elkins Park, PA"
106,"Elmira, NY / Orange, NJ"
107,England
108,"England / Bennington, VT"
109,"England / Detroit, MI"
110,"England / Hartford, CT"
111,"England / Philadelphia, PA"
112,"England / Sacramento, CA"
113,"England / San Francisco, CA"
114,"England Albion, NY"
115,"England Brooklyn, NY"
116,"England New York, NY"
117,"England Oglesby, IL"
118,"England Salt Lake City, Utah"
119,"Finland / Minneapolis, MN"
120,"Finland / Washington, DC"
121,"Finland Sudbury, ON"
122,"Folkstone, Kent / New York, NY"
123,"Fond du Lac, WI"
124,"Foresvik, Norway Portland, ND"
125,"Frankfort, KY"
126,"Gallipolis, Ohio / ? Paris / New York"
127,"Geneva, Switzerland / Radnor, PA"
128,"Germantown, Philadelphia, PA"
129,Glasgow
130,"Glasgow / Bangor, ME"
131,"Glen Ridge, NJ"
132,"Goteborg, Sweden / Rockford, IL"
133,"Goteborg, Sweden Huntley, IL"
134,Greece
135,"Green Bay, WI"
136,"Greenport, NY"
137,"Greensburg, PA"
138,"Greenwich, CT"
139,Guernsey
140,"Guernsey / Elizabeth, NJ"
141,"Guernsey / Montclair, NJ and/or Toledo, Ohio"
142,"Guernsey / Wilmington, DE"
143,"Guernsey, England / Edgewood, RI"
144,"Gunnislake, England / Butte, MT"
145,"Guntur, India / Benton Harbour, MI"
146,"Haddenfield, NJ"
147,"Halesworth, England"
148,"Halifax, NS"
149,"Hamilton, ON"
150,"Harrisburg, PA"
151,"Harrow, England"
152,"Harrow-on-the-Hill, Middlesex"
153,"Hartford, CT"
154,"Hartford, Huntingdonshire"
155,"Haverford, PA"
156,"Haverford, PA / Cooperstown, NY"
157,"Helsinki, Finland Ashtabula, Ohio"
158,"Hessle, Yorks"
159,"Holley, NY"
160,"Hong Kong New York, NY"
161,"Hornsey, England"
162,"Hudson, NY"
163,"Huntington, WV"
164,"Ilford, Essex / Winnipeg, MB"
165,"Ilfracombe, Devon"
166,"Illinois, USA"
167,"India / Pittsburgh, PA"
168,"India / Rapid City, SD"
169,"Indianapolis, IN"
170,Ireland
171,"Ireland Brooklyn, NY"
172,"Ireland Chicago, IL"
173,"Ireland New York, NY"
174,"Ireland Philadelphia, PA"
175,"Isle of Wight, England"
176,"Isleworth, England"
177,"Italy Philadelphia, PA"
178,"Jacksonville, FL"
179,"Janjgir, India / Pennsylvania"
180,"Karberg, Sweden Jerome Junction, AZ"
181,"Kilmacowen, Co Sligo, Ireland New York, NY"
182,"Kingston, Surrey"
183,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY"
184,"Kingwilliamstown, Co Cork, Ireland New York, NY"
185,"Kontiolahti, Finland / Detroit, MI"
186,"Krakoryd, Sweden Bloomington, IL"
187,"Krakudden, Sweden Moune, IL"
188,"Lake Arthur, Chavez County, NM"
189,"Lakewood, NJ"
190,"Lexington, MA"
191,"Lima, Peru"
192,"Little Onn Hall, Staffs"
193,Liverpool
194,"Liverpool / Montreal, PQ"
195,"Liverpool, England / Belfast"
196,"Liverpool, England Bedford, OH"
197,London
198,"London  Vancouver, BC"
199,"London /  East Orange, NJ"
200,London / Birmingham
201,"London / Chicago, IL"
202,"London / Fort Byron, NY"
203,London / Middlesex
204,"London / Montreal, PQ"
205,"London / New York, NY"
206,London / Paris
207,"London / Staten Island, NY"
208,"London / Winnipeg, MB"
209,"London Brooklyn, NY"
210,"London New York, NY"
211,"London Skanteales, NY"
212,"London, England"
213,"London, England / Marietta, Ohio and Milwaukee, WI"
214,"London, England Norfolk, VA"
215,"Los Angeles, CA"
216,"Lower Clapton, Middlesex or Erdington, Birmingham"
217,"Lucca, Italy / California"
218,"Lyndhurst, England"
219,"Madrid, Spain"
220,"Mamaroneck, NY"
221,"Manchester, England"
222,"Medeltorp, Sweden Chicago, IL"
223,"Merrill, WI"
224,"Mexico City, Mexico"
225,"Middleburg Heights, OH"
226,"Milford, NH"
227,"Milwaukee, WI"
228,"Minneapolis, MN"
229,"Montevideo, Uruguay"
230,"Montreal, PQ"
231,"Montreal, PQ / Chesterville, ON"
232,"Moscow / Bronx, NY"
233,"Mt Airy, Philadelphia, PA"
234,"Myren, Sweden New York, NY"
235,"New Britain, CT"
236,"New Forest, England"
237,"New York, NY"
238,"New York, NY /  Stamford CT"
239,"New York, NY / Briarcliff Manor NY"
240,"New York, NY / Greenwich CT"
241,"New York, NY / Ithaca, NY"
242,"New York, NY / Washington, DC"
243,"Newark, NJ"
244,"Nice, France"
245,"Norrlot, Sweden Chicago, IL"
246,"North Evington, England"
247,"Norway Los Angeles, CA"
248,"Norwich / New York, NY"
249,"Omaha, NE"
250,"Oskarshamn, Sweden Minneapolis, MN"
251,"Oslo, Norway Bayonne, NJ"
252,"Oslo, Norway Cameron, WI"
253,"Ottawa, ON"
254,Paris
255,"Paris /  New York, NY"
256,Paris / Haiti
257,"Paris / Montreal, PQ"
258,"Paris, France"
259,"Paris, France / New York, NY"
260,"Paris, France New York, NY"
261,Pennsylvania
262,"Penzance, Cornwall / Akron, OH"
263,"Perkins County, SD"
264,"Philadelphia, PA"
265,"Plymouth, Devon / Detroit, MI"
266,"Plymouth, Dorset / Houghton, MI"
267,"Plymouth, England"
268,"Pomeroy, WA"
269,"Pondersend, England / New Durham, NJ"
270,"Portland, OR"
271,Portugal
272,"Portugal / Sau Paulo, Brazil"
273,"Providence, RI"
274,"Provo, UT"
275,"Roachdale, IN"
276,"Rochester, NY"
277,"Rotherfield, Sussex, England Essex Co, MA"
278,"Rotterdam, Netherlands"
279,"Ruotsinphyhtaa, Finland New York, NY"
280,"Ruotsinphytaa, Finland New York, NY"
281,Russia
282,"Russia New York, NY"
283,"Salo, Finland Astoria, OR"
284,"San Francisco, CA"
285,"Sarnia, ON"
286,"Sault St Marie, ON"
287,"Scituate, MA"
288,"Seattle, WA"
289,"Seattle, WA / Toledo, OH"
290,"Sittingbourne, England / San Diego, CA"
291,"Skara, Sweden / Rockford, IL"
292,"Somerset / Bernardsville, NJ"
293,Southampton
294,"Southampton / New York, NY"
295,"Southington / Noank, CT"
296,"Southsea, Hants"
297,Spain
298,"Spain / Havana, Cuba"
299,"Springfield, MA"
300,"St Andrews, Guernsey"
301,"St Anne's-on-Sea, Lancashire"
302,"St Austall, Cornwall"
303,"St Denys, Southampton, Hants"
304,"St Ives, Cornwall / Calumet, MI"
305,"St Ives, Cornwall / Hancock, MI"
306,"St Ives, Cornwall / Houghton, MI"
307,"St James, Long Island, NY"
308,"St Leonards-on-Sea, England Ohio"
309,"St Louis, MO"
310,"Stanton, IA"
311,"Stockholm, Sweden"
312,"Stockholm, Sweden / Washington, DC"
313,"Stockholm, Sweden New York"
314,"Stoughton, MA"
315,"Streatham, Surrey"
316,"Strood, Kent, England Detroit, MI"
317,"Surbiton Hill, Surrey"
318,"Sweden  Worcester, MA"
319,"Sweden / Arlington, NJ"
320,"Sweden Akeley, MN"
321,"Sweden Chicago, IL"
322,"Sweden Joliet, IL"
323,"Sweden Winnipeg, MN"
324,"Sweden Worcester, MA"
325,"Swindon, England"
326,"Sydney, Australia"
327,Syria
328,"Syria Fredericksburg, VA"
329,"Syria Kent, ON"
330,"Syria New York, NY"
331,"Syria Ottawa, ON"
332,"Syria Youngstown, OH"
333,"Taalintehdas, Finland Hoboken, NJ"
334,"Tampico, MT"
335,"Tofta, Sweden Joliet, IL"
336,"Tokyo, Japan"
337,"Toronto, ON"
338,"Tranvik, Finland New York"
339,"Treherbert, Cardiff, Wales"
340,"Trenton, NJ"
341,"Tuxedo Park, NY"
342,"Union Hill, NJ"
343,"Upper Burma, India Pittsburgh, PA"
344,"Vadsbro, Sweden Ministee, MI"
345,"Vancouver, BC"
346,"Victoria, BC"
347,"Walthamstow, England"
348,"Warwick, England"
349,"Washington, DC"
350,"Waukegan, Chicago, IL"
351,"West Bromwich, England Pontiac, MI"
352,"West Hampstead, London / Neepawa, MB"
353,"West Haven, CT"
354,"West Hoboken, NJ"
355,"West Kensington, London"
356,"Westcliff-on-Sea, Essex"
357,"Weston-Super-Mare / Moose Jaw, SK"
358,"Weston-Super-Mare, Somerset"
359,"Wiltshire, England Niagara Falls, NY"
360,"Wimbledon Park, London / Hayling Island, Hants"
361,"Windsor, England New York, NY"
362,"Winnipeg, MB"
363,"Winnipeg, MN"
364,"Woodford County, KY"
365,"Worcester, England"
366,"Worcester, MA"
367,"Yoevil, England / Cottage Grove, OR"
368,"Youngstown, OH"
369,"Zurich, Switzerland"
